date,BTC,ETH,SOL,VT,SUSA,SUSC,EEM,IWDA.AS,SPYG,LQD,AGGG.L
2024-10-05,-0.0006348775847465626,3.3134114470145803e-05,-0.004398826979472137,,,,,,,,
2024-10-06,0.012241002564169046,0.010490741392663594,0.027281015498983097,,,,,,,,
2024-10-07,-0.009720930425088925,-0.007443111023673787,-0.017340251228836645,-0.0060246004518450524,-0.0075257128522452366,-0.0038281582305401685,0.008303172237598577,0.003083564600678379,-0.010502172863351089,-0.005111190817790434,-0.0005672149744752053
2024-10-08,-0.0012581936930188276,0.007350269234581042,-0.0037515631513129755,0.0016836434043268067,0.009689106074648235,0.002134927412467791,-0.024704391891891886,-0.0005123475765959062,0.015127485665487272,0.0019828751689949797,0.00011350737797943822
2024-10-09,-0.024850125607634777,-0.029030777050847,-0.02921896792189682,0.003949911757290536,0.007343124165553938,-0.001704303365999138,-0.005412426932236425,0.007330326020094313,0.006970316067780535,-0.0019789511558874207,-0.0020429009193054792
2024-10-10,-0.004931635563109382,0.006611332989960639,-0.001867681919402453,-0.0015904905407667647,-0.003147779986746202,-0.0008536064874092864,0.0019590770570310223,0.002188183807439792,-0.0008354218880535225,-0.001081568273997302,0.0005686341407939999
2024-10-11,0.037147270391789666,0.02283669977184255,0.046851385390428435,0.006875157206338578,0.005484460694698434,-0.00042716787697572034,0.007169237453834354,0.0036559358180157098,0.0021500238891543066,-0.00018045655508436287,0.0003409865878609697
2024-10-12,0.010696311106668022,0.01517978325139313,0.006118520555479012,,,,,,,,
2024-10-13,-0.005415155884544776,-0.0032797612075337046,0.009156132558933994,,,,,,,,
2024-10-14,0.0512424954610764,0.06527209878144147,0.06655833164059866,0.004996252810392177,0.00892561983471074,0.00042735042735042583,-0.004098360655737654,0.008044116159060977,0.009654350417163116,9.024456276507387e-05,-0.00431769117145786
2024-10-15,0.014999474008051239,-0.008410873650493977,-0.017775520568816705,-0.010274256359267486,-0.008191349934469239,0.003844510892780928,-0.021225904266840012,-0.0024090338770388353,-0.0115688820682327,0.004872766648619464,0.00353760127810121
2024-10-16,0.008229465854218576,0.0015000211000408825,-0.0031023784901756946,0.00493930514859775,0.004459861248761188,0.002553191489361728,0.007745076344324087,,0.0019109040965006319,0.003142959770114917,0.002729133500113612
2024-10-17,-0.0030485838750310412,-0.0021566419208286502,-0.024636929460580936,-0.0004998333888703854,-0.0019733596447953916,-0.005093378607809784,-0.0015371102327623731,0.008552598480656037,0.0015496483490284874,-0.00742995255572465,-0.00408255840326599
2024-10-18,0.015189089160567493,0.014230817955322994,0.029779314012230662,0.004917486247707936,0.002718734552644486,-0.0012798634812287712,0.009896635144051036,-0.0010974210605078083,0.005474886931682965,-0.0011724386724386582,0.001138692780687789
2024-10-19,-0.000911640308063788,0.002267238964715812,0.030919184095016927,,,,,,,,
2024-10-20,0.009524494933205174,0.03710389468158626,0.047961930999937286,,,,,,,,
2024-10-21,-0.024178995653979518,-0.02944774999817923,-0.0074087351377188915,-0.005142241021812932,-0.003697313285679016,-0.008543357539512964,-0.006968641114982632,-0.004094881398252204,0.0040246212121211045,-0.010203160270880307,-0.006938125568698772
2024-10-22,0.000503814991651419,-0.0166994953758417,0.008126166255342238,-0.0024176740308462508,-0.004040903842982058,0.0008616975441619878,-0.002192982456140413,0.0014541443112872088,0.0002357934449424004,-9.12242291553067e-05,-0.0006872065055549825
2024-10-23,-0.011560835190459917,-0.03773599304039932,0.018927633150227052,-0.008691291993982886,-0.007452181833236704,-0.0034438226431339203,-0.00593406593406598,-0.0036551171640295532,-0.015087223008015127,-0.003375604415655542,-0.0034383954154727503
